EXP, ShoulderPan_PE, ShoulderPan_VE, ShoulderLift_PE, \ShoulderLift_VE, Elbow_PE,             Elbow_VE, Wrist1_PE, Wrist1_VE, Wrist2_PE, Wrist2_VE, Wrist3_PE, Wrist3_VE
745, 0.0096, -0.0366, -0.0108, 0.0374, -0.0435, 0.1531, 0.0157, -0.0560, -0.0068, 0.0242, -0.0307, 0.1094
745, 0.0078, -0.0348, -0.0087, 0.0351, -0.0352, 0.1460, 0.0127, -0.0535, -0.0055, 0.0231, -0.0249, 0.1045
745, 0.0069, -0.0369, -0.0076, 0.0375, -0.0310, 0.1558, 0.0112, -0.0570, -0.0048, 0.0246, -0.0219, 0.1113
745, 0.0062, -0.0239, -0.0067, 0.0220, -0.0274, 0.0954, 0.0099, -0.0355, -0.0043, 0.0153, -0.0194, 0.0692
745, 0.0075, -0.0420, -0.0082, 0.0435, -0.0334, 0.1797, 0.0121, -0.0654, -0.0052, 0.0283, -0.0236, 0.1278
745, 0.0068, -0.0349, -0.0074, 0.0350, -0.0302, 0.1470, 0.0109, -0.0538, -0.0047, 0.0232, -0.0213, 0.1051
745, 0.0061, -0.0261, -0.0065, 0.0245, -0.0268, 0.1055, 0.0097, -0.0390, -0.0042, 0.0168, -0.0190, 0.0761
745, 0.0050, -0.0253, -0.0052, 0.0235, -0.0216, 0.1016, 0.0078, -0.0375, -0.0034, 0.0162, -0.0153, 0.0733
745, 0.0047, -0.0272, -0.0049, 0.0259, -0.0205, 0.1110, 0.0074, -0.0409, -0.0032, 0.0176, -0.0145, 0.0798
745, 0.0041, -0.0208, -0.0041, 0.0183, -0.0174, 0.0809, 0.0063, -0.0302, -0.0027, 0.0130, -0.0124, 0.0589
745, 0.0036, -0.0166, -0.0036, 0.0132, -0.0151, 0.0608, 0.0055, -0.0230, -0.0024, 0.0099, -0.0108, 0.0448
745, 0.0030, -0.0183, -0.0029, 0.0153, -0.0125, 0.0689, 0.0046, -0.0258, -0.0020, 0.0111, -0.0090, 0.0504
745, 0.0026, -0.0151, -0.0025, 0.0115, -0.0107, 0.0541, 0.0039, -0.0205, -0.0017, 0.0089, -0.0077, 0.0401
745, 0.0025, -0.0183, -0.0023, 0.0153, -0.0099, 0.0690, 0.0037, -0.0258, -0.0016, 0.0111, -0.0072, 0.0504
745, 0.0025, -0.0150, -0.0023, 0.0114, -0.0099, 0.0535, 0.0037, -0.0203, -0.0016, 0.0088, -0.0071, 0.0396
745, 0.0019, -0.0172, -0.0016, 0.0140, -0.0071, 0.0635, 0.0027, -0.0238, -0.0012, 0.0103, -0.0052, 0.0465
745, 0.0014, -0.0113, -0.0009, 0.0070, -0.0046, 0.0360, 0.0018, -0.0140, -0.0008, 0.0060, -0.0034, 0.0273
745, 0.0009, -0.0110, -0.0003, 0.0067, -0.0022, 0.0347, 0.0009, -0.0136, -0.0004, 0.0058, -0.0018, 0.0265
746, 0.0006, -0.0052, 0.0000, -0.0002, -0.0009, 0.0073, 0.0004, -0.0038, -0.0002, 0.0016, -0.0008, 0.0072
746, 0.0004, -0.0051, 0.0004, 0.0091, -0.0004, 0.0021, -0.0001, -0.0151, 0.0003, 0.0188, -0.0005, 0.0020
746, 0.0003, -0.0042, 0.0015, 0.0051, -0.0003, -0.0004, -0.0015, -0.0100, 0.0022, 0.0126, -0.0006, 0.0008
746, 0.0002, -0.0037, 0.0027, 0.0053, -0.0003, -0.0023, -0.0029, -0.0101, 0.0042, 0.0135, -0.0008, -0.0007
746, 0.0002, -0.0033, 0.0035, 0.0016, -0.0003, -0.0027, -0.0040, -0.0056, 0.0057, 0.0074, -0.0010, -0.0004
746, 0.0001, -0.0032, 0.0047, -0.0005, -0.0005, -0.0028, -0.0054, -0.0030, 0.0077, 0.0039, -0.0013, -0.0002
746, 0.0000, -0.0027, 0.0057, -0.0067, -0.0006, -0.0020, -0.0067, 0.0047, 0.0094, -0.0068, -0.0015, 0.0013
746, -0.0001, -0.0026, 0.0071, -0.0077, -0.0009, -0.0019, -0.0084, 0.0060, 0.0118, -0.0086, -0.0019, 0.0015
746, -0.0001, -0.0026, 0.0076, -0.0074, -0.0009, -0.0020, -0.0090, 0.0057, 0.0127, -0.0081, -0.0020, 0.0013
746, -0.0001, -0.0023, 0.0087, -0.0135, -0.0011, -0.0010, -0.0103, 0.0133, 0.0145, -0.0188, -0.0023, 0.0030
746, -0.0002, -0.0020, 0.0098, -0.0181, -0.0013, -0.0002, -0.0118, 0.0190, 0.0166, -0.0268, -0.0026, 0.0043
746, -0.0003, -0.0019, 0.0109, -0.0203, -0.0015, 0.0002, -0.0131, 0.0218, 0.0184, -0.0307, -0.0029, 0.0049
746, -0.0004, -0.0021, 0.0146, -0.0137, -0.0021, -0.0008, -0.0177, 0.0138, 0.0249, -0.0194, -0.0040, 0.0031
746, -0.0005, -0.0005, 0.0155, -0.0403, -0.0023, 0.0038, -0.0188, 0.0467, 0.0264, -0.0656, -0.0042, 0.0104
746, -0.0005, 0.0002, 0.0162, -0.0538, -0.0024, 0.0061, -0.0197, 0.0635, 0.0277, -0.0892, -0.0044, 0.0141
746, -0.0006, -0.0004, 0.0173, -0.0430, -0.0026, 0.0043, -0.0211, 0.0503, 0.0296, -0.0706, -0.0047, 0.0112
746, -0.0005, -0.0007, 0.0162, -0.0372, -0.0024, 0.0035, -0.0197, 0.0434, 0.0277, -0.0609, -0.0044, 0.0097
746, -0.0006, 0.0012, 0.0173, -0.0723, -0.0026, 0.0094, -0.0210, 0.0868, 0.0296, -0.1219, -0.0047, 0.0193
